CONTRATO,PRODUCTO,ID_SERVICIO,SBSERVICIO,ESTADO_DE_CUENTA,CUENTA_DE_COBRO,SBSIGNO,ID_CONCEPTO,SBCONCEPTO,FINANCIABLE,MES,AÑO,PERIODO_FACTURACION,VALOR,IVA,UNIDADES,CONSECUTIVO_DOC,DOCUMENTO_SOPORTE,PROGRAMA,USUARIO,TERMINAL,FECHA_DEL_CARGO,CAUSA,FECHA_CONTABLE
65110,56414,6140,Energ�a Domiciliario,115201,261934,DB,1039,VALOR CONSUMO ENERGIA,S,4,2006,579,66686,0,321,402157874,4E+13,MIGRACION,MIGRACION,MIGRACION,04/04/2006,-1,04/04/2006
65110,56414,6140,Energ�a Domiciliario,12503527,13975440,DB,1039,VALOR CONSUMO ENERGIA,S,5,2006,580,82000,0,400,410088993,CO-200605 TC-0003,FGCA,ADMISECS,emcalipdn,15/06/2006 03:37:46 a.m.,-1,30/04/2006
65110,56414,6140,Energ�a Domiciliario,14024221,17254552,DB,1039,VALOR CONSUMO ENERGIA,S,6,2006,60604,67243.26,0,322,413714837,CO-200606 TC-0003,FGCA,ADMISECS,emcalipdn,16/07/2006 10:11:24 p.m.,-1,17/07/2006
65110,56414,6140,Energ�a Domiciliario,15517869,22161017,DB,1039,VALOR CONSUMO ENERGIA,S,7,2006,60704,62930.07,0,301,416895138,CO-200607-TC-0003,FGCA,JUANHERO,emcalipdn,17/08/2006 02:10:00 a.m.,-1,22/08/2006
65110,56414,6140,Energ�a Domiciliario,16423707,25154739,DB,1039,VALOR CONSUMO ENERGIA,S,8,2006,60804,41024.08,0,193,420496276,CO-200608-TC-0003,FGCA,JUANHERO,emcalipdn,15/09/2006 03:55:16 a.m.,-1,16/09/2006
65110,56414,6140,Energ�a Domiciliario,17507772,29035920,DB,1039,VALOR CONSUMO ENERGIA,S,9,2006,60904,23381.6,0,110,422787135,CO-200609-TC-0003,FGCA,JUANHERO,emcalipdn,05/10/2006 05:49:19 a.m.,-1,09/10/2006
65110,56414,6140,Energ�a Domiciliario,18568498,32871807,DB,1039,VALOR CONSUMO ENERGIA,S,10,2006,61004,21495.48,0,102,425001765,CO-200610-TC-0003,FGCA,JUANHERO,emcalipdn,28/10/2006 12:16:19 a.m.,-1,03/11/2006
65110,56414,6140,Energ�a Domiciliario,20697728,37943248,DB,1039,VALOR CONSUMO ENERGIA,S,11,2006,61104,18090.1,0,86,427491982,CO-200611-TC-0003,FGCA,JUANHERO,emcalipdn,29/11/2006 10:00:23 p.m.,-1,01/12/2006
65110,56414,6140,Energ�a Domiciliario,23048628,46738549,DB,1039,VALOR CONSUMO ENERGIA,S,1,2007,70104,38717.76,0,186,432920683,CO-200701-TC-0003,FGCA,JUANHERO,emcalipdn,13/01/2007 12:27:00 a.m.,-1,14/01/2007
65110,56414,6140,Energ�a Domiciliario,24346508,51459567,DB,1039,VALOR CONSUMO ENERGIA,S,2,2007,70204,38479.68,0,186,435714355,CO-200702-TC-0003,FGCA,JUANHERO,emcalipdn,10/02/2007 10:41:12 p.m.,-1,12/02/2007
65110,56414,6140,Energ�a Domiciliario,25548973,55828331,DB,1039,VALOR CONSUMO ENERGIA,S,3,2007,70304,12205.92,0,59,437955000,CO-200703-TC-0003,FGCA,JUANHERO,emcalipdn,07/03/2007 09:20:12 p.m.,-1,08/03/2007
65110,56414,6140,Energ�a Domiciliario,27707246,61540052,DB,1039,VALOR CONSUMO ENERGIA,S,4,2007,70404,14203.2,0,66,440823851,CO-200704-TC-0003,FGCA,JUANHERO,emcalipdn,10/04/2007 10:03:41 p.m.,-1,11/04/2007
65110,56414,6140,Energ�a Domiciliario,29511514,66701962,DB,1039,VALOR CONSUMO ENERGIA,S,5,2007,70504,11620.8,0,54,444263979,CO-200705-TC-0003,FGCA,JUANHERO,emcalipdn,09/05/2007 08:56:46 p.m.,-1,11/05/2007
65110,56414,6140,Energ�a Domiciliario,30863568,71657863,DB,1039,VALOR CONSUMO ENERGIA,S,6,2007,70604,23509.2,0,110,447045180,CO-200706-TC-0003,FGCA,JUANHERO,emcalipdn,06/06/2007 11:15:28 p.m.,-1,12/06/2007
65110,56414,6140,Energ�a Domiciliario,31985609,75748997,DB,1039,VALOR CONSUMO ENERGIA,S,7,2007,70704,430.66,0,2,450343015,CO-PR-200706-TC-0003,FGCA,JUANHERO,emcalipdn,10/07/2007 11:04:02 p.m.,-1,11/07/2007
65110,56414,6140,Energ�a Domiciliario,31985609,75748997,DB,1039,VALOR CONSUMO ENERGIA,S,7,2007,70704,24116.96,0,112,450343016,CO-200707-TC-0003,FGCA,JUANHERO,emcalipdn,10/07/2007 11:04:02 p.m.,-1,11/07/2007
65110,56414,6140,Energ�a Domiciliario,33452484,80979887,DB,1039,VALOR CONSUMO ENERGIA,S,8,2007,70804,45502.82,0,214,453076799,CO-200708-TC-0003,FGCA,JUANHERO,emcalipdn,02/08/2007 07:05:31 p.m.,-1,03/08/2007
65110,56414,6140,Energ�a Domiciliario,34781399,85771049,DB,1039,VALOR CONSUMO ENERGIA,S,9,2007,70904,44094.82,0,209,455734005,CO-200709-TC-0003,FGCA,JUANHERO,emcalipdn,05/09/2007 12:48:31 a.m.,-1,07/09/2007
65110,56414,6140,Energ�a Domiciliario,36012100,90153533,DB,1039,VALOR CONSUMO ENERGIA,S,10,2007,71004,46883.52,0,223,458794126,CO-200710-TC-0003,FGCA,JUANHERO,emcalipdn,03/10/2007 06:40:42 p.m.,-1,04/10/2007
65110,56414,6140,Energ�a Domiciliario,37695625,96266513,DB,1039,VALOR CONSUMO ENERGIA,S,11,2007,71104,51775.85,0,245,461786714,CO-200711-TC-0003,FGCA,JUANHERO,emcalipdn,07/11/2007 10:33:02 p.m.,-1,13/11/2007
65110,56414,6140,Energ�a Domiciliario,38607539,99634039,DB,1039,VALOR CONSUMO ENERGIA,S,12,2007,71204,57519.75,0,271,467345265,CO-200712-TC-0003,FGCA,JUANHERO,emcalipdn,08/12/2007 07:47:12 p.m.,-1,09/12/2007
65110,56414,6140,Energ�a Domiciliario,40245884,105068621,DB,1039,VALOR CONSUMO ENERGIA,S,1,2008,80104,62189.25,0,293,473740183,CO-200801-TC-0003,FGCA,JUANHERO,emcalipdn,09/01/2008 07:10:26 p.m.,-1,10/01/2008
65110,56414,6140,Energ�a Domiciliario,42134214,112111734,DB,1039,VALOR CONSUMO ENERGIA,S,2,2008,80204,65801.38,0,311,480233737,CO-200802-TC-0003,FGCA,JUANHERO,emcalipdn,05/02/2008 10:52:12 p.m.,-1,11/02/2008
65110,56414,6140,Energ�a Domiciliario,43025608,115412026,DB,1039,VALOR CONSUMO ENERGIA,S,3,2008,80304,60462.77,0,281,485224288,CO-200803-TC-0003,FGCA,JUANHERO,emcalipdn,05/03/2008 01:06:33 a.m.,-1,05/03/2008
65110,56414,6140,Energ�a Domiciliario,44650159,121723801,DB,1039,VALOR CONSUMO ENERGIA,S,4,2008,80404,67484.18,0,283,491091195,CO-200804-TC-0003,FGCA,JUANHERO,emcalipdn,08/04/2008 10:50:31 a.m.,-1,09/04/2008
